"index","branch","github_protected","open_pr","retention_status"
"1","arch/sqlserver-only-runtime","false","","REVISAR_SEM_AUTORIZACAO"
"2","automation/rc-v500-rc1","false","","REVISAR_DEPENDENCIA_AUDITORIA"
"3","calibrador-auto-feature-lineage","false","","REVISAR_SEM_AUTORIZACAO"
"4","calibrador-cns-ground-truth","false","","REVISAR_SEM_AUTORIZACAO"
"5","calibrador-diagnostic-to-calibration","false","","REVISAR_SEM_AUTORIZACAO"
"6","calibrador-feature-lineage","false","","REVISAR_SEM_AUTORIZACAO"
"7","calibrador-feature-lineage-v2","false","","REVISAR_SEM_AUTORIZACAO"
"8","calibrador-ground-truth-diagnostic-run","false","","REVISAR_SEM_AUTORIZACAO"
"9","calibrador-stratified-ground-truth-diagnostics","false","","REVISAR_SEM_AUTORIZACAO"
"10","calibrador-typed-ground-truth-lineage","false","","REVISAR_SEM_AUTORIZACAO"
"11","calibrador-typed-ground-truth-lineage-v2","false","","REVISAR_SEM_AUTORIZACAO"
"12","chore/dependabot-group-minor-patch","false","","REVISAR_SEM_AUTORIZACAO"
"13","chore/linkage-eligibility-test-wording","false","","REVISAR_SEM_AUTORIZACAO"
"14","chore/linkage-retire-df-conditioned-u","false","","REVISAR_SEM_AUTORIZACAO"
"15","chore/local-clean-linkage-test","false","","REVISAR_SEM_AUTORIZACAO"
"16","chore/local-round-continuous-only","false","","REVISAR_SEM_AUTORIZACAO"
"17","chore/post-rc-secret-hardening-405","false","","REVISAR_DEPENDENCIA_AUDITORIA"
"18","chore/rc-cut-contract-hardening-20260920","false","","REVISAR_DEPENDENCIA_AUDITORIA"
"19","chore/security-historical-gitleaks-audit","false","","REVISAR_DEPENDENCIA_AUDITORIA"
"20","chore/security-invariants-pre-rc-398","false","","REVISAR_DEPENDENCIA_AUDITORIA"
"21","chore/spec364-recovery","false","","REVISAR_SEM_AUTORIZACAO"
"22","chore/technical-rc-versioning","false","","REVISAR_DEPENDENCIA_AUDITORIA"
"23","chore/verify-fs-u-conditioned-consolidation","false","","REVISAR_SEM_AUTORIZACAO"
"24","chore/405-sqlcmd-password-env-20260925","false","","REVISAR_DEPENDENCIA_AUDITORIA"
"25","db/dt06-fresh-baseline-ledger","false","511","BLOQUEADO_PR_ABERTO"
"26","dependabot/nuget/Solution/src/Jornada.Api/nuget-minor-patch-9116d52178","false","420","BLOQUEADO_PR_ABERTO"
"27","dependabot/nuget/Solution/src/Jornada.Api/nuget-minor-patch-bf69a00f4e","false","83","BLOQUEADO_PR_ABERTO"
"28","dependabot/nuget/Solution/src/Jornada.Bronze.Maintenance.Worker/Microsoft.Extensions.Hosting-10.0.12","false","118","BLOQUEADO_PR_ABERTO"
"29","dependabot/nuget/Solution/src/Jornada.Bronze.Verify/Microsoft.Data.SqlClient-7.0.3","false","","REVISAR_SEM_AUTORIZACAO"
"30","dependabot/nuget/Solution/src/Jornada.Bronze.Verify/Microsoft.Extensions.Configuration.EnvironmentVariables-10.0.12","false","85","BLOQUEADO_PR_ABERTO"
"31","dependabot/nuget/Solution/src/Jornada.Bronze.Verify/Microsoft.Extensions.Configuration.Json-10.0.12","false","86","BLOQUEADO_PR_ABERTO"
"32","dependabot/nuget/Solution/src/Jornada.Linkage.Parameters.Worker/Microsoft.Extensions.Hosting-10.0.12","false","120","BLOQUEADO_PR_ABERTO"
"33","dependabot/nuget/Solution/src/Jornada.Linkage.Runner/Microsoft.Extensions.Hosting-10.0.12","false","122","BLOQUEADO_PR_ABERTO"
"34","dependabot/nuget/Solution/src/Jornada.Operational.Sql/Microsoft.Data.SqlClient-7.1.0","false","357","BLOQUEADO_PR_ABERTO"
"35","dependabot/nuget/Solution/src/Jornada.Operations.Maintenance.Worker/Microsoft.Extensions.Hosting-10.0.12","false","124","BLOQUEADO_PR_ABERTO"
"36","dependabot/nuget/Solution/src/Jornada.Pipeline.Coordination/Microsoft.Data.SqlClient-7.1.0","false","359","BLOQUEADO_PR_ABERTO"
"37","dependabot/nuget/Solution/src/Jornada.Processor.Worker/Microsoft.Extensions.Hosting-10.0.12","false","126","BLOQUEADO_PR_ABERTO"
"38","design/linkage-sunter-multievidencia-v406","false","","REVISAR_SEM_AUTORIZACAO"
"39","dev/linkage-ibge-monte-carlo-names-20260917","false","","REVISAR_SEM_AUTORIZACAO"
